"","L_ATC4","ATC4","name_simp"
"120","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","PENTASA"
"121","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","FIVASA"
"122","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","OSPERZO"
"123","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","ROWASA"
"124","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","DIPENTUM"
"125","AUTRES ANTIDIARRHEIQUES","A07XA","RACECADOTRIL"
"126","AUTRES ANTIDIARRHEIQUES","A07XA","TIORFAN"
"127","AUTRES ANTIDIARRHEIQUES","A07XA","TIORFANOR"
"128","PREPARATIONS ENZYMATIQUES","A09AA","CREON"
"129","PREPARATIONS ENZYMATIQUES","A09AA","EUROBIOL"
"130","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","UMULINE"
"131","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","ACTRAPID"
"132","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","HUMALOG"
"133","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","LYUMJEV"
"134","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","NOVORAPID"
"135","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","FIASP"
"136","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","INSULINE"
"137","INSULINES ET ANALOGUES D’ACTION RAPIDE POUR INJECTION","A10AB","APIDRA"
"138","INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE POUR INJECTION","A10AC","UMULINE"
"139","INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE POUR INJECTION","A10AC","INSULATARD"
"140","INSULINES ET ANALOGUES D’ACTION INTERMEDIAIRE ET À DEBUT D’ACTION RAPIDE POUR INJECTION","A10AD","UMULINE"
"141","INSULINES ET ANALOGUES D’ACTION INTERMEDIAIRE ET À DEBUT D’ACTION RAPIDE POUR INJECTION","A10AD","MIXTARD"
"142","INSULINES ET ANALOGUES D’ACTION INTERMEDIAIRE ET À DEBUT D’ACTION RAPIDE POUR INJECTION","A10AD","HUMALOG"
"143","INSULINES ET ANALOGUES D’ACTION INTERMEDIAIRE ET À DEBUT D’ACTION RAPIDE POUR INJECTION","A10AD","NOVOMIX"
"144","INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION","A10AE","ABASAGLAR"
"145","INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION","A10AE","TOUJEO"
"146","INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION","A10AE","LANTUS"
"147","INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION","A10AE","LEVEMIR"
"148","INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION","A10AE","TRESIBA"
"149","INSULINES ET ANALOGUES D’ACTION LENTE POUR INJECTION","A10AE","XULTOPHY"
"150","BIGUANIDES","A10BA","METFORMINE"
"151","BIGUANIDES","A10BA","GLIMEZIT"
"152","BIGUANIDES","A10BA","GLUCOPHAGE"
"153","BIGUANIDES","A10BA","STAGID"
"154","SULFAMIDES, DERIVES DE L'UREE","A10BB","AMGLIDIA"
"155","SULFAMIDES, DERIVES DE L'UREE","A10BB","DAONIL"
"156","SULFAMIDES, DERIVES DE L'UREE","A10BB","HEMI"
"157","SULFAMIDES, DERIVES DE L'UREE","A10BB","GLIBENCLAMIDE"
"158","SULFAMIDES, DERIVES DE L'UREE","A10BB","OZIDIA"
"159","SULFAMIDES, DERIVES DE L'UREE","A10BB","GLICLAZIDE"
"160","SULFAMIDES, DERIVES DE L'UREE","A10BB","DIAMICRON"
"161","SULFAMIDES, DERIVES DE L'UREE","A10BB","GLIMEPIRIDE"
"162","SULFAMIDES, DERIVES DE L'UREE","A10BB","AMAREL"
"163","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","JANUMET"
"164","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","VELMETIA"
"165","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SITAGLIPTINE"
"166","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SITAGLIP/METFORM"
"167","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SITAGLIPT/METFORM"
"168","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SITAGL/METF"
"169","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SITAGLIPTINE/METF"
"170","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SITAGLIPTIN/METFOR"
"171","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","EUCREAS"
"172","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","VILDAGLIPTINE/MET"
"173","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","VEDFA"
"174","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","VILDAGLIP/MET"
"175","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","KOMBOGLYZE"
"176","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","XIGDUO"
"177","ASSOCIATION DE MEDICAMENTS HYPOGLYCEMIANTS ORAUX","A10BD","SYNJARDY"
"178","INHIBITEURS DE L'ALPHA GLUCOSIDASE","A10BF","ACARBOSE"
"179","INHIBITEURS DE L'ALPHA GLUCOSIDASE","A10BF","GLUCOR"
"180","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","XELEVIA"
"181","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","JANUVIA"
"182","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","SITAGLIPTINE"
"183","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","VILDAGLIPTINE"
"184","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","GALVUS"
"185","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","SAXAGLIPTINE"
"186","INHIBITEURS DE LA DIPEPTIDYL PEPTIDASE 4 (DPP-4)","A10BH","ONGLYZA"
"187","ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1","A10BJ","BYETTA"
"188","ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1","A10BJ","VICTOZA"
"189","ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1","A10BJ","TRULICITY"
"190","ANALOGUES DES RECEPTEURS GLUACON-LIKE PEPTIDE-1","A10BJ","OZEMPIC"
"191","INHIBITEURS DU SODIUM-GLUCOSE CO-TRANSPORTEUR 2","A10BK","FORXIGA"
"192","INHIBITEURS DU SODIUM-GLUCOSE CO-TRANSPORTEUR 2","A10BK","INVOKANA"
"193","INHIBITEURS DU SODIUM-GLUCOSE CO-TRANSPORTEUR 2","A10BK","JARDIANCE"
"194","AUTRES MEDICAMENTS HYPOGLYCEMIANTS, INSULINES EXCLUSES","A10BX","REPAGLINIDE"
"195","AUTRES MEDICAMENTS HYPOGLYCEMIANTS, INSULINES EXCLUSES","A10BX","NOVONORM"
"196","VITAMINE A NON ASSOCIEE","A11CA","A313"
"197","VITAMINE A NON ASSOCIEE","A11CA","VITAMINE"
"198","VITAMINE D ET ANALOGUES","A11CC","STEROGYL"
"199","VITAMINE D ET ANALOGUES","A11CC","UN"
"200","VITAMINE D ET ANALOGUES","A11CC","ALFACALCIDOL"
"201","VITAMINE D ET ANALOGUES","A11CC","ROCALTROL"
"202","VITAMINE D ET ANALOGUES","A11CC","CHOLECALCIFEROL"
"203","VITAMINE D ET ANALOGUES","A11CC","ZYMAD"
"204","VITAMINE D ET ANALOGUES","A11CC","KIPOS"
"205","VITAMINE D ET ANALOGUES","A11CC","GUIOX"
"206","VITAMINE D ET ANALOGUES","A11CC","UVEDOSE"
"207","VITAMINE D ET ANALOGUES","A11CC","UVECAPS"
"208","VITAMINE D ET ANALOGUES","A11CC","POSEXONA"
"209","VITAMINE D ET ANALOGUES","A11CC","VITAMINE"
"210","VITAMINE D ET ANALOGUES","A11CC","ADRIGYL"
"211","VITAMINE D ET ANALOGUES","A11CC","CALCIFEDIOL"
"212","VITAMINE D ET ANALOGUES","A11CC","LUZADEL"
"213","VITAMINE D ET ANALOGUES","A11CC","DEDROGYL"
"214","VITAMINE B1, NON ASSOCIEE","A11DA","BEVITINE"
"215","VITAMINE B1, NON ASSOCIEE","A11DA","THIAMINE"
"216","AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES","A11HA","BECILAN"
"217","AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES","A11HA","TOCO"
"218","AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES","A11HA","TOCOLION"
"219","AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES","A11HA","VITAMINE"
"220","CALCIUM","A12AA","PHOSPHOSORB"
"221","CALCIUM","A12AA","CALCIUM"
"222","CALCIUM","A12AA","FIXICAL"
"223","CALCIUM","A12AA","CALCIDIA"
"224","CALCIUM","A12AA","CACIT"
"225","CALCIUM","A12AA","CALTRATE"
"226","CALCIUM","A12AA","OROCAL"
"227","CALCIUM","A12AA","CALPEROS"
"228","CALCIUM","A12AA","CALCIPRAT"
"229","CALCIUM","A12AA","CALCIDOSE"
"230","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","STRUCTOCAL"
"231","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CALCIDOSE"
"232","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","OROCAL"
"233","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CACIT"
"234","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","FIXICAL"
"235","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CALCIFORTE"
"236","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","IDEOS"
"237","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CALTRATE"
"238","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CALCIPRAT"
"239","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CALPEROS"
"240","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","CALCIUM"
"241","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","DENSICAL"
"242","CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES","A12AX","NATECAL"
"243","DERIVES POTASSIQUES","A12BA","DIFFU-K"
"244","DERIVES POTASSIQUES","A12BA","KALEORID"
"245","DERIVES POTASSIQUES","A12BA","POTASSIUM"
"246","MAGNESIUM","A12CC","MAGINJECTABLE"
"247","AUTRES ELEMENTS MINERAUX","A12CX","PHOSPHONEUROS"
"248","ACIDES AMINES ET DERIVES","A16AA","LEVOCARNIL"
"249","ACIDES AMINES ET DERIVES","A16AA","MYALEPTA"
"250","ENZYMES","A16AB","ELAPRASE"
"251","ENZYMES","A16AB","STRENSIQ"
"252","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","KETOSTERIL"
"253","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","SULFARLEM"
"254","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","REVESTIVE"
"255","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","CUPRIOR"
"256","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","CUFENCE"
"257","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","TRIENTINE"
"258","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","GALAFOLD"
"259","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","GIVLAARI"
"260","DIVERS MEDICAMENTS DES VOIES DIGESTIVES ET DU METABOLISME","A16AX","OXLUMO"
"261","ANTIVITAMINES K","B01AA","COUMADINE"
"262","ANTIVITAMINES K","B01AA","SINTROM"
"263","ANTIVITAMINES K","B01AA","MINI-SINTROM"
"264","ANTIVITAMINES K","B01AA","PREVISCAN"
"265","GROUPE DE L'HEPARINE","B01AB","CALCIPARINE"
"266","GROUPE DE L'HEPARINE","B01AB","HEPARINE"
"267","GROUPE DE L'HEPARINE","B01AB","FRAGMINE"
"268","GROUPE DE L'HEPARINE","B01AB","ENOXAPARINE"
"269","GROUPE DE L'HEPARINE","B01AB","INHIXA"
"270","GROUPE DE L'HEPARINE","B01AB","LOVENOX"
"271","GROUPE DE L'HEPARINE","B01AB","FRAXIPARINE"
"272","GROUPE DE L'HEPARINE","B01AB","FRAXODI"
"273","GROUPE DE L'HEPARINE","B01AB","INNOHEP"
"274","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","CLOPIDOGREL"
"275","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","PLAVIX"
"276","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","TICLOPIDINE"
"277","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","ASPIRINE"
"278","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","RESITUNE"
"279","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","ACIDE"
"280","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","KARDEGIC"
"281","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","PRASUGREL"
"282","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","EFIENT"
"283","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","BRILIQUE"
"284","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","CLOPIDOGREL/AC"
"285","INHIBITEURS DE L'AGREGATION PLAQUETTAIRE, HEPARINE EXCLUE","B01AC","DUOPLAVIN"
"286","INHIBITEURS DIRECTS DE LA THROMBINE","B01AE","DABIGATRAN"
"287","INHIBITEURS DIRECTS DE LA THROMBINE","B01AE","PRADAXA"
"288","INHIBITEURES DIRECTS DU FACTEUR Xa","B01AF","XARELTO"
"289","INHIBITEURES DIRECTS DU FACTEUR Xa","B01AF","RIVAROXABAN"
"290","INHIBITEURES DIRECTS DU FACTEUR Xa","B01AF","ELIQUIS"
"291","AUTRES ANTITHROMBOTIQUES","B01AX","ARIXTRA"
"292","ACIDES AMINES","B02AA","AC"
"293","ACIDES AMINES","B02AA","EXACYL"
"294","ACIDES AMINES","B02AA","SPOTOF"
"295","VITAMINE K","B02BA","VITAMINE"
"296","AUTRES HEMOSTATIQUES SYSTEMIQUES","B02BX","NPLATE"
"297","AUTRES HEMOSTATIQUES SYSTEMIQUES","B02BX","REVOLADE"
"298","AUTRES HEMOSTATIQUES SYSTEMIQUES","B02BX","HEMLIBRA"
"299","AUTRES HEMOSTATIQUES SYSTEMIQUES","B02BX","TAVLESSE"
"300","FER BIVALENT, PREPARATIONS ORALES","B03AA","FUMAFER"
"301","FER BIVALENT, PREPARATIONS ORALES","B03AA","INOFER"
"302","FER BIVALENT, PREPARATIONS ORALES","B03AA","TIMOFEROL"
"303","FER BIVALENT, PREPARATIONS ORALES","B03AA","TARDYFERON"
"304","FER BIVALENT, PREPARATIONS ORALES","B03AA","ASCOFER"
"305","FER BIVALENT, PREPARATIONS ORALES","B03AA","FERO"
"306","FER TRIVALENT, PREPARATIONS ORALES","B03AB","FERROSTRANE"
"307","VITAMINE B12 (CYANOCOBALAMINE ET DERIVES)","B03BA","VIT"
"308","VITAMINE B12 (CYANOCOBALAMINE ET DERIVES)","B03BA","DODECAVIT"
"309","ACIDE FOLIQUE ET DERIVES","B03BB","ACIDE"
"310","ACIDE FOLIQUE ET DERIVES","B03BB","FERTIFOL"
"311","ACIDE FOLIQUE ET DERIVES","B03BB","SPECIAFOLDINE"
"312","AUTRES PREPARATIONS ANTIANEMIQUES","B03XA","RETACRIT"
"313","AUTRES PREPARATIONS ANTIANEMIQUES","B03XA","EPORATIO"
"314","AUTRES PREPARATIONS ANTIANEMIQUES","B03XA","EPREX"
"315","AUTRES PREPARATIONS ANTIANEMIQUES","B03XA","NEORECORMON"
"316","AUTRES PREPARATIONS ANTIANEMIQUES","B03XA","BINOCRIT"
"317","AUTRES PREPARATIONS ANTIANEMIQUES","B03XA","ARANESP"
